english,vietnamese,exampleSentence,englishMeaning,difficulty,category
uninstall,Gỡ cài đặt,This is an example for uninstall.,An uninstallation process.,A2,IT
restart,khởi động lại,This is an example for restart.,The act of starting something again.,A2,IT
memory,bộ nhớ,This is an example for memory.,The ability of the brain to record information or impressions with the facility of recalling them later at will.,A2,IT
processor,xưởng gia công,This is an example for processor.,"A person or institution who processes things (foods, photos, applications, etc.).",A2,IT
operating system,hệ điều hành (máy tính),This is an example for operating system.,"Software that controls the allocation and usage of hardware resources such as memory, CPU time, disk space, and input and output devices.",A2,IT
antivirus,Phần mềm diệt virus,This is an example for antivirus.,"A piece of software that is used to detect, delete and or neutralize computer-based viruses.",B1,IT
programming,LẬP TRÌNH,This is an example for programming.,To enter a program or other instructions into (a computer or other electronic device) to instruct it to do a particular task.,B1,IT
function,chức năng,This is an example for function.,What something does or is used for.,B1,IT
variable,Biến đổi,This is an example for variable.,Something that is variable.,B1,IT
loop,vùng buộc thuốc lá để sấy,This is an example for loop.,"A length of thread, line or rope that is doubled over to make an opening.",B1,IT
condition,điểu kiện,This is an example for condition.,A logical clause or phrase that a conditional statement uses. The phrase can either be true or false.,B1,IT
array,mảng,This is an example for array.,Clothing and ornamentation.,B1,IT
class,hạng,This is an example for class.,"A group, collection, category or set sharing characteristics or attributes.",B1,IT
engineer,kỹ sư,This is an example for engineer.,A person who is qualified or professionally engaged in any branch of engineering.,B1,IT
designer,nhà thiết kế,This is an example for designer.,"A person who designs something, or who designs things as a profession.",B1,IT
analyst,nhà phân tích,This is an example for analyst.,Someone who analyzes.,B1,IT
administrator,quản trị,This is an example for administrator.,"One who administers affairs; one who directs, manages, executes, or dispenses, whether in civil, judicial, political, or ecclesiastical affairs; a manager",B1,IT
architect,kiến trúc sư,This is an example for architect.,"A professional who designs buildings or other structures, or who prepares plans and superintends construction.",B1,IT
consultant,tư vấn,This is an example for consultant.,A person or party that is consulted,B1,IT
debugging,Debug (Gỡ lỗi),This is an example for debugging.,"To search for and eliminate malfunctioning elements or errors in something, especially a computer program or machinery.",B1,IT
testing,thử nghiệm,This is an example for testing.,To challenge.,B1,IT
deployment,Triển khai,This is an example for deployment.,An arrangement or classification of things.,B1,IT
version control,Kiểm soát Phiên bản,This is an example for version control.,Definition of version control.,B1,IT
repository,kho bảo quản,This is an example for repository.,"A location for storage, often for safety or preservation.",B1,IT
branch,chi nhánh,This is an example for branch.,The woody part of a tree arising from the trunk and usually dividing.,B1,IT
merge,Trộn,This is an example for merge.,The joining together of multiple sources.,B1,IT
commit,"ủy nhiệm, ủy thác",This is an example for commit.,"The act of committing (e.g. a database transaction or source code into a source control repository), making it a permanent change.",B1,IT
pull request,yêu cầu kéo,This is an example for pull request.,Definition of pull request.,B1,IT
code review,đánh giá mã,This is an example for code review.,Definition of code review.,B1,IT
framework,khuôn khổ,This is an example for framework.,A support structure comprising joined parts or conglomerated particles and intervening open spaces of similar or larger size.,B1,IT
library,thư viện,This is an example for library.,"An institution which holds books and/or other forms of media for use by the public or qualified people often lending them out, as well as providing various other services for its users.",B1,IT
module,Mô-đun,This is an example for module.,"A self-contained component of a system, often interchangeable, which has a well-defined interface to the other components.",B1,IT
package,hành lý,This is an example for package.,"Something which is packed, a parcel, a box, an envelope.",B1,IT
dependency,Phụ Thuộc,This is an example for dependency.,A state of dependence; a refusal to exercise initiative.,B1,IT
integration,hội nhập,This is an example for integration.,The act or process of making whole or entire.,B1,IT
documentation,tài liệu hướng dẫn,This is an example for documentation.,Something transposed from a thought to a document; the written account of an idea.,B1,IT
specification,Thông số kỹ thuật,This is an example for specification.,"An explicit set of requirements to be satisfied by a material, product, or service.",B1,IT
bandwidth,băng thông,This is an example for bandwidth.,"The width, usually measured in hertz, of a frequency band.",B1,IT
latency,độ trễ,This is an example for latency.,The state of being latent.,B1,IT
throughput,xuất lượng,This is an example for throughput.,"A conserved property of the light in an optical system which characterizes how ""spread out"" the light is in terms of angle and area: it is the product of its cross-sectional area (normal to the direction of propagation) and the solid angle it subtends.",B1,IT
port,cổng,This is an example for port.,"A place on the coast at which ships can shelter, or dock to load and unload cargo or passengers.",B1,IT
IP address,Địa chỉ IP,This is an example for IP address.,Definition of IP address.,B1,IT
DNS,DNS,This is an example for DNS.,Definition of DNS.,B1,IT
SSL,SSL,This is an example for SSL.,Definition of SSL.,B1,IT
authentication,xác thực,This is an example for authentication.,Something which validates or confirms the authenticity of something,B1,IT
authorization,sự thẩm định quyền,This is an example for authorization.,Permission.,B1,IT
session,lớp tập,This is an example for session.,"An informal gathering of musicians to play music, especially improvised jazz or a similar genre.",B1,IT
token,mã thông báo,This is an example for token.,Something serving as an expression of something else.,B1,IT
cookie,bánh quy,This is an example for cookie.,"A small, flat, baked good which is either crisp or soft but firm.",B1,IT
cache,cache,This is an example for cache.,"A store of things that may be required in the future, which can be retrieved rapidly, protected or hidden in some way.",B1,IT
queue,Hàng Đợi,This is an example for queue.,An animal's tail.,B1,IT
thread,sợi chỉ,This is an example for thread.,"A long, thin and flexible form of material, generally with a round cross-section, used in sewing, weaving or in the construction of string.",B1,IT
process,Quy trình sản xuất,This is an example for process.,A series of events which produce a result (the product).,B1,IT
recovery,sự hồi phục,This is an example for recovery.,The act or process of regaining or repossession of something lost.,B1,IT
migration,sự di cư,This is an example for migration.,An instance of moving to live in another place for a while.,B1,IT
scaling,hiện tượng đọng cáu,This is an example for scaling.,To change the size of something whilst maintaining proportion; especially to change a process in order to produce much larger amounts of the final product.,B1,IT
monitoring,giám sát,This is an example for monitoring.,To watch over; to guard.,B1,IT
logging,khai thác gỗ,This is an example for logging.,To cut trees into logs.,B1,IT
analytics,///,This is an example for analytics.,The principles governing any of various forms of analysis.,B1,IT
dashboard,bảng quản trị,This is an example for dashboard.,"A panel under the windscreen of a motor car or aircraft, containing indicator dials, compartments, and sometimes controls.",B1,IT
visualization,Khả năng hình dung,This is an example for visualization.,"The act of visualizing, or something visualized.",B1,IT
agile,linh hoạt,This is an example for agile.,Having the faculty of quick motion in the limbs; apt or ready to move,B1,IT
scrum,scrum,This is an example for scrum.,A tightly-packed and disorderly crowd of people.,B1,IT
sprint,sprint,This is an example for sprint.,A short race at top speed.,B1,IT
kanban,kanban,This is an example for kanban.,"A card containing a set of manufacturing specifications and requirements, used to regulate the supply of components.",B1,IT
waterfall,Hiệu ứng Quét Trang trình diễn,This is an example for waterfall.,A flow of water over the edge of a cliff.,B1,IT
DevOps,DevOps,This is an example for DevOps.,Definition of DevOps.,B1,IT
CI/CD,CI & CD,This is an example for CI/CD.,Definition of CI/CD.,B1,IT
mobile app,Ứng dụng di động,This is an example for mobile app.,Definition of mobile app.,B1,IT
web app,Ứng dụng web (Web App),This is an example for web app.,Definition of web app.,B1,IT
desktop app,Ứng dụng máy tính để bàn,This is an example for desktop app.,Definition of desktop app.,B1,IT
cross-platform,Đa nền tảng,This is an example for cross-platform.,"Of software, etc., designed to work on various operating systems.",B1,IT
responsive,đáp ứng,This is an example for responsive.,"Answering, replying or responding",B1,IT
accessibility,accessibility,This is an example for accessibility.,"The quality of being accessible, or of admitting approach; receptiveness.",B1,IT
usability,Khả năng sử dụng,This is an example for usability.,The state or condition of being usable.,B1,IT
performance,Hiệu,This is an example for performance.,The act of performing; carrying into execution or action; execution; achievement; accomplishment; representation by action.,B1,IT
optimization,tối ưu hóa,This is an example for optimization.,The design and operation of a system or process to make it as good as possible in some defined sense.,B1,IT
refactoring,tái cấu trúc,This is an example for refactoring.,"To rewrite existing source code in order to improve its readability, reusability or structure without affecting its meaning or behaviour.",B1,IT
microservices,microservices,This is an example for microservices.,Definition of microservices.,B2,IT
containerization,sự chuyên chở bằng công -ten-nơ,This is an example for containerization.,Definition of containerization.,B2,IT
virtualization,Ảo hóa,This is an example for virtualization.,Definition of virtualization.,B2,IT
orchestration,phối khí.,This is an example for orchestration.,The arrangement of music for performance by an orchestra.,B2,IT
kubernetes,kubernetes,This is an example for kubernetes.,Definition of kubernetes.,B2,IT
docker,khuôn bánh quy,This is an example for docker.,"One who performs docking, as of tails.",B2,IT
terraform,địa tầng,This is an example for terraform.,To transform the atmosphere (or biosphere) of another planet into one having the characteristics of Earth.,B2,IT
ansible,ansible,This is an example for ansible.,Definition of ansible.,B2,IT
puppet,puppet,This is an example for puppet.,"Any small model of a person or animal able to be moved by strings or rods, or in the form of a glove.",B2,IT
artificial intelligence,trí khôn nhân tạo,This is an example for artificial intelligence.,"Intelligence exhibited by an artificial (non-natural, man-made) entity.",B2,IT
neural network,Mạng thần kinh,This is an example for neural network.,"A real or virtual computer system designed to emulate the brain in its ability to ""learn"" to assess imprecise data.",B2,IT
deep learning,học vấn uyên thâm,This is an example for deep learning.,A form of machine learning based on the interpretation of the structure of data.,B2,IT
natural language processing,Xử lý ngôn ngữ tự nhiên,This is an example for natural language processing.,"A field of computer science and linguistics concerned with the interactions between computers and human (natural) languages, especially computational analysis and processing of large amounts of natural language data.",B2,IT
computer vision,Thị giác máy tính,This is an example for computer vision.,Definition of computer vision.,B2,IT
data science,Khoa học dữ liệu,This is an example for data science.,Definition of data science.,B2,IT
big data,dữ liệu lớn,This is an example for big data.,"Data on a very large scale, such that it can only be gathered or processed with computers, especially with reference to its potential to allow for new breakthroughs or understanding in a particular field of study.",B2,IT
prediction,Dự đoán,This is an example for prediction.,A statement of what will happen in the future.,B2,IT
cryptocurrency,tiền mã hoá,This is an example for cryptocurrency.,A digital currency based on a cryptographic system.,B2,IT
distributed system,Hệ phân tán,This is an example for distributed system.,Definition of distributed system.,B2,IT
consensus,đồng thuận,This is an example for consensus.,A process of decision-making that seeks widespread agreement among group members.,B2,IT
decentralization,phi tập trung,This is an example for decentralization.,"The action of decentralizing, or the state of being decentralized.",B2,IT
smart contract,hợp đồng thông minh,This is an example for smart contract.,Definition of smart contract.,B2,IT
wallet,Ví tiền,This is an example for wallet.,"A small case, often flat and often made of leather, for keeping money (especially paper money), credit cards, etc.",B2,IT
mining,đào,This is an example for mining.,To remove (ore) from the ground.,B2,IT
ledger,sổ cái,This is an example for ledger.,"A book for keeping notes, especially one for keeping accounting records; a record book, a register.",B2,IT
cybersecurity,An ninh mạng,This is an example for cybersecurity.,Security against electronic attacks such as cyberwarfare.,B2,IT
penetration testing,kiểm tra thâm nhập,This is an example for penetration testing.,Definition of penetration testing.,B2,IT
vulnerability,lỗ hổng,This is an example for vulnerability.,Susceptibility to attack or injury; the state or condition of being weak or poorly defended.,B2,IT
exploit,khai thác,This is an example for exploit.,A heroic or extraordinary deed.,B2,IT
malware,Phần mềm ác ý,This is an example for malware.,"Software which has been designed to operate in a malicious, undesirable manner.",B2,IT
ransomware,Phần mềm mã độc tống tiền,This is an example for ransomware.,"Malware that holds the data of a computer user for ransom, usually requiring or claiming to require payment to restore access.",B2,IT
phishing,lừa đảo qua mạng (danh từ),This is an example for phishing.,To engage in phishing.,B2,IT
social engineering,Lừa đảo qua mạng,This is an example for social engineering.,Use of numerical data to inform social programs.,B2,IT
zero-day,zero-day,This is an example for zero-day.,"Vulnerability that has been discovered recently, and is yet unpatched or unmitigated; zero-day vulnerability",B2,IT
REST,Nghỉ,This is an example for REST.,(of a person or animal) Relief from work or activity by sleeping; sleep.,B2,IT
GraphQL,GraphQL,This is an example for GraphQL.,Definition of GraphQL.,B2,IT
gRPC,gRPC,This is an example for gRPC.,Definition of gRPC.,B2,IT
microservice,microservice,This is an example for microservice.,Definition of microservice.,B2,IT
event-driven,Điều khiển sự kiện,This is an example for event-driven.,Definition of event-driven.,B2,IT
message queue,message queue,This is an example for message queue.,Definition of message queue.,B2,IT
pub/sub,pub/sub,This is an example for pub/sub.,Definition of pub/sub.,B2,IT
webhook,webhook,This is an example for webhook.,Definition of webhook.,B2,IT
streaming,xem nội dung trực tuyến,This is an example for streaming.,"To flow in a continuous or steady manner, like a liquid.",B2,IT
real-time,Thời gian thực,This is an example for real-time.,"Communicated as the events being responded to occur; communicated or proceeding without much delay (compare instantaneous, synchronous )",B2,IT
relational database,cơ sở dữ liệu quan hệ,This is an example for relational database.,"A database consisting of separate tables, having explicitly defined relationships, and whose elements may be selectively combined as the results of queries.",B2,IT
NoSQL,NoSQL,This is an example for NoSQL.,Definition of NoSQL.,B2,IT
SQL,SQL,This is an example for SQL.,Definition of SQL.,B2,IT
query,người dùng,This is an example for query.,"A question, an inquiry (US), an enquiry (UK).",B2,IT
index,Chỉ số,This is an example for index.,An alphabetical listing of items and their location.,B2,IT
transaction,Không giao dịch.,This is an example for transaction.,"The act of conducting or carrying out (business, negotiations, plans).",B2,IT
normalization,bình thường hóa,This is an example for normalization.,"Any process that makes something more normal or regular, which typically means conforming to some regularity or rule, or returning from some state of abnormality.",B2,IT
sharding,phân đoạn (danh từ),This is an example for sharding.,Definition of sharding.,B2,IT
replication,Sao chép,This is an example for replication.,"The process by which an object, person, place or idea may be copied mimicked or reproduced.",B2,IT
consistency,tính nhất quán,This is an example for consistency.,Local coherence.,B2,IT
git,git,This is an example for git.,"A silly, incompetent, stupid, annoying or childish person (usually a man).",B2,IT
branching strategy,chiến lược phân nhánh,This is an example for branching strategy.,Definition of branching strategy.,B2,IT
code quality,Chất lượng mã.,This is an example for code quality.,Definition of code quality.,B2,IT
technical debt,nợ kỹ thuật,This is an example for technical debt.,Definition of technical debt.,B2,IT
clean code,Mã sạch,This is an example for clean code.,Definition of clean code.,B2,IT
design pattern,Mẫu thiết kế,This is an example for design pattern.,Definition of design pattern.,B2,IT
SOLID,Nét liền,This is an example for SOLID.,A substance in the fundamental state of matter that retains its size and shape without need of a container (as opposed to a liquid or gas).,B2,IT
DRY,ĐỂ KHÔ,This is an example for DRY.,The process by which something is dried.,B2,IT
load balancer,Cân bằng tải,This is an example for load balancer.,Definition of load balancer.,B2,IT
reverse proxy,proxy ngược,This is an example for reverse proxy.,Definition of reverse proxy.,B2,IT
CDN,CDN,This is an example for CDN.,Definition of CDN.,B2,IT
caching,caching,This is an example for caching.,To place in a cache.,B2,IT
session management,Quản lý Phiên chạy,This is an example for session management.,Definition of session management.,B2,IT
rate limiting,Giới hạn Tốc độ,This is an example for rate limiting.,Definition of rate limiting.,B2,IT
throttling,sự tiết lưu,This is an example for throttling.,"To cut back on the speed of (an engine, person, organization, network connection, etc.).",B2,IT
circuit breaker,máy cắt,This is an example for circuit breaker.,"An electrical switch capable of opening and closing an electrical circuit in all operating conditions, including fault situations.",B2,IT
retry,thử lại,This is an example for retry.,Another attempt.,B2,IT
timeout,thời gian chờ đợi khi máy tính đang vận hành,This is an example for timeout.,"A short break in the action of a sport, for substitution, consultation, etc.",B2,IT
unit test,Kiểm tra đơn vị,This is an example for unit test.,Definition of unit test.,B2,IT
integration test,kiểm tra tích hợp,This is an example for integration test.,Definition of integration test.,B2,IT
end-to-end test,kiểm tra toàn diện,This is an example for end-to-end test.,Definition of end-to-end test.,B2,IT
test-driven development,Hướng phát triển thử nghiệm,This is an example for test-driven development.,Definition of test-driven development.,B2,IT
behavior-driven development,phát triển theo định hướng hành vi,This is an example for behavior-driven development.,Definition of behavior-driven development.,B2,IT
mocking,chế giễu,This is an example for mocking.,"To mimic, to simulate.",B2,IT
stubbing,bướng bỉnh,This is an example for stubbing.,"To remove most of a tree, bush, or other rooted plant by cutting it close to the ground.",B2,IT
coverage,phủ sóng,This is an example for coverage.,An amount by which something or someone is covered.,B2,IT
regression,hồi quy,This is an example for regression.,"An action of regressing, a return to a previous state.",B2,IT
performance test,Thử nghiệm hiệu suất,This is an example for performance test.,Definition of performance test.,B2,IT
requirement,tối thiểu,This is an example for requirement.,"A necessity or prerequisite; something required or obligatory. Its adpositions are generally of in relation to who or what has given it, on in relation to whom or what it is given to, and for in relation to what is required.",B2,IT
use case,Nhu cầu sử dụng,This is an example for use case.,A potential scenario in which a system receives an external request (such as user input) and responds to it; used in software design.,B2,IT
user story,tin tức người dùng,This is an example for user story.,Definition of user story.,B2,IT
acceptance criteria,Các tiêu chí tiếp nhận,This is an example for acceptance criteria.,Definition of acceptance criteria.,B2,IT
prototype,mẫu hình,This is an example for prototype.,"An original form or object which is a basis for other forms or objects (particularly manufactured items), or for its generalizations and models.",B2,IT
wireframe,Khung dây,This is an example for wireframe.,A visual model of an electronic representation of a three-dimensional object,B2,IT
mockup,Mô phỏng,This is an example for mockup.,"A prototype, usually low-fidelity, such as paper illustrations, screenshots, or simple configurations of screens with limited interaction.",B2,IT
stakeholder,bên liên quan,This is an example for stakeholder.,"A person holding the stakes of bettors, with the responsibility of delivering the pot to the winner of the bet.",B2,IT
roadmap,lộ trình,This is an example for roadmap.,"A map with a visual representation of roads used for automobile travel and navigation. A road map may contain other relevant data, such as terrain or rail roads.",B2,IT
idempotency,idempotency,This is an example for idempotency.,Definition of idempotency.,C1,IT
atomicity,tính nguyên tử,This is an example for atomicity.,The quality or state of being atomic.,C1,IT
durability,Độ bền,This is an example for durability.,Permanence by virtue of the power to resist stress or force.,C1,IT
eventual consistency,tính nhất quán cuối cùng,This is an example for eventual consistency.,Definition of eventual consistency.,C1,IT
CAP theorem,Định lý CAP,This is an example for CAP theorem.,Definition of CAP theorem.,C1,IT
distributed consensus,sự đồng thuận phân tán,This is an example for distributed consensus.,Definition of distributed consensus.,C1,IT
fault tolerance,Khả năng chịu lỗi,This is an example for fault tolerance.,Definition of fault tolerance.,C1,IT
high availability,Tính sẵn sàng cao,This is an example for high availability.,Definition of high availability.,C1,IT
polymorphism,đa hình,This is an example for polymorphism.,The ability to assume different forms or shapes.,C1,IT
encapsulation,sự bao ngoài mặt,This is an example for encapsulation.,The act of enclosing in a capsule; the growth of a membrane around (any part) so as to enclose it in a capsule.,C1,IT
abstraction,sự chiết ra,This is an example for abstraction.,"The act of abstracting, separating, withdrawing, or taking away; withdrawal; the state of being taken away.",C1,IT
inheritance,sự thừa kế di sản,This is an example for inheritance.,The passing of title to an estate upon death.,C1,IT
composition,về Gia đình,This is an example for composition.,The act of putting together; assembly.,C1,IT
dependency injection,tiêm phụ thuộc,This is an example for dependency injection.,Definition of dependency injection.,C1,IT
inversion of control,đảo ngược kiểm soát,This is an example for inversion of control.,Definition of inversion of control.,C1,IT
antipattern,mẫu đối xứng,This is an example for antipattern.,Definition of antipattern.,C1,IT
observability,Khả năng quan sát,This is an example for observability.,Definition of observability.,C1,IT
tracing,"vẽ, đựng (đường cong)",This is an example for tracing.,To follow the trail of.,C1,IT
profiling,Lập hồ sơ,This is an example for profiling.,"To create a summary or collection of information about (a person, etc.).",C1,IT
benchmarking,Đánh giá so sánh,This is an example for benchmarking.,To measure the performance or quality of (an item) relative to another similar item in an impartial scientific manner.,C1,IT
chaos engineering,Kỹ thuật kiểm tra chống lỗ hỏng,This is an example for chaos engineering.,Definition of chaos engineering.,C1,IT
site reliability engineering,Kỹ thuật Độ tin cậy,This is an example for site reliability engineering.,Definition of site reliability engineering.,C1,IT
platform engineering,kỹ thuật nền tảng,This is an example for platform engineering.,Definition of platform engineering.,C1,IT
developer experience,Kinh nghiệm developer:,This is an example for developer experience.,Definition of developer experience.,C1,IT
inner source,nguồn bên trong,This is an example for inner source.,Definition of inner source.,C1,IT
open source,mã nguồn mở,This is an example for open source.,Definition of open source.,C1,IT
homomorphic encryption,mã hóa đồng hình,This is an example for homomorphic encryption.,Definition of homomorphic encryption.,C1,IT
zero-knowledge proof,Bằng chứng không kiến thức,This is an example for zero-knowledge proof.,Definition of zero-knowledge proof.,C1,IT
federated learning,học tập liên hợp,This is an example for federated learning.,Definition of federated learning.,C1,IT
differential privacy,quyền riêng tư khác biệt,This is an example for differential privacy.,Definition of differential privacy.,C1,IT
adversarial attack,tấn công đối nghịch,This is an example for adversarial attack.,Definition of adversarial attack.,C1,IT
model interpretability,khả năng diễn giải mô hình,This is an example for model interpretability.,Definition of model interpretability.,C1,IT
fairness,Công bằng,This is an example for fairness.,The property of being fair or equitable.,C1,IT
robustness,Mạnh MẼ,This is an example for robustness.,The quality of being robust.,C1,IT
generalization,(sự) khái quát hoá,This is an example for generalization.,The formulation of general concepts from specific instances by abstracting common properties.,C1,IT
concurrency,Đồng thời,This is an example for concurrency.,The property or an instance of being concurrent; something that happens at the same time as something else.,C1,IT
parallelism,Độ song song,This is an example for parallelism.,"The state or condition of being parallel; agreement in direction, tendency, or character.",C1,IT
asynchronous,Phi đồng bộ hóa,This is an example for asynchronous.,Not synchronous; occurring at different times.,C1,IT
synchronous,tính đồng bộ,This is an example for synchronous.,"At the same time, at the same frequency.",C1,IT
race condition,điều kiện chủng tộc,This is an example for race condition.,Definition of race condition.,C1,IT
deadlock,sự đình trệ hoàn toàn,This is an example for deadlock.,A standstill resulting from the opposition of two evenly matched forces; a stalemate or impasse,C1,IT
mutex,mutex,This is an example for mutex.,Definition of mutex.,C1,IT
semaphore,semaphore,This is an example for semaphore.,"Any equipment used for visual signalling by means of flags, lights, or mechanically moving arms, which are used to represent letters of the alphabet, or words.",C1,IT
coroutine,coroutine,This is an example for coroutine.,Definition of coroutine.,C1,IT
actor model,người mẫu diễn viên,This is an example for actor model.,Definition of actor model.,C1,IT
quorum,túc số,This is an example for quorum.,"The minimum number of members required for a group to officially conduct business and to cast votes, often but not necessarily a majority or supermajority.",C2,IT
paxos,paxos,This is an example for paxos.,Definition of paxos.,C2,IT
raft,raft,This is an example for raft.,"A flat-bottomed craft able to float and drift on water, used for transport or as a waterborne platform.",C2,IT
byzantine fault,đứt gãy byzantin,This is an example for byzantine fault.,Definition of byzantine fault.,C2,IT
vector clock,đồng hồ vectơ,This is an example for vector clock.,Definition of vector clock.,C2,IT
crdt,crdt,This is an example for crdt.,Definition of crdt.,C2,IT
gossip protocol,giao thức tin đồn,This is an example for gossip protocol.,Definition of gossip protocol.,C2,IT
consistent hashing,băm nhất quán,This is an example for consistent hashing.,Definition of consistent hashing.,C2,IT
bloom filter,bộ lọc nở hoa,This is an example for bloom filter.,Definition of bloom filter.,C2,IT
skiplist,vận động viên trượt tuyết,This is an example for skiplist.,Definition of skiplist.,C2,IT
metaprogramming,siêu lập trình,This is an example for metaprogramming.,Definition of metaprogramming.,C2,IT
homoiconicity,tính đồng hình,This is an example for homoiconicity.,Definition of homoiconicity.,C2,IT
continuation,continuation,This is an example for continuation.,The act or state of continuing or being continued; uninterrupted extension or succession,C2,IT
monad,"1.bào thể đơn 2.hạt phấn rời, hạt phấn đơn lẻ, bộ đơn",This is an example for monad.,"An ultimate atom, or simple, unextended point; something ultimate and indivisible.",C2,IT
functor,functor,This is an example for functor.,(grammar) A function word.,C2,IT
applicative,áp dụng,This is an example for applicative.,(grammar) A grammatical construct that casts a peripheral noun phrase as direct object.,C2,IT
type theory,lý thuyết kiểu,This is an example for type theory.,Definition of type theory.,C2,IT
dependent type,loại phụ thuộc,This is an example for dependent type.,Definition of dependent type.,C2,IT
chair,ghế,This is an example for chair.,"An item of furniture used to sit on or in, comprising a seat, legs, back, and sometimes arm rests, for use by one person. Compare stool, couch, sofa, settee, loveseat and bench.",A2,Office
table,bảng,This is an example for table.,Furniture with a top surface to accommodate a variety of uses.,A2,Office
fax,gởi bằng fax,This is an example for fax.,The hair of the head.,A2,Office
stapler,bàn dập ghim,This is an example for stapler.,A device which binds together sheets of paper by driving a thin metal staple through the sheets and simultaneously folding over the ends of the staple against the back surface of the paper.,A2,Office
tape,băng dán,This is an example for tape.,Flexible material in a roll with a sticky surface on one or both sides; adhesive tape.,A2,Office
secretary,thư ký,This is an example for secretary.,Someone entrusted with a secret; a confidant.,A2,Office
receptionist,nhân viên lễ tân,This is an example for receptionist.,"An employee (such as a secretary) who works in reception (receiving visitors and/or calls) for a person or business, especially an office.",A2,Office
team,đội,This is an example for team.,"A set of draught animals, such as two horses in front of a carriage.",A2,Office
department,bộ phận,This is an example for department.,"A part, portion, or subdivision.",A2,Office
company,công ty,This is an example for company.,A team; a group of people who work together professionally.,A2,Office
work,Hoạt động,This is an example for work.,(heading) Employment.,A2,Office
job,job,This is an example for job.,A task.,A2,Office
wage,"tiền lương, tiền công",This is an example for wage.,"(often in plural) An amount of money paid to a worker for a specified quantity of work, usually calculated on an hourly basis and expressed in an amount of money per hour.",A2,Office
raise,raise,This is an example for raise.,An increase in wages or salary; a rise (UK).,A2,Office
benefit,"lợi ích, lãi",This is an example for benefit.,An advantage; help or aid from something.,A2,Office
policy,Khảo sát về các quy định và chính sách đang áp dụng trong Nhà trường,This is an example for policy.,"A principle of behaviour, conduct etc. thought to be desirable or necessary, especially as formally expressed by a government or other authoritative body.",A2,Office
rule,"quy tắc, điểu lệ, luật lệ; cai trị, chỉ huy, điểu khiến",This is an example for rule.,"A regulation, law, guideline.",A2,Office
break,phá vỡ,This is an example for break.,An instance of breaking something into two or more pieces.,A2,Office
shift,"đổi chỗ, luân phiên",This is an example for shift.,A modifier key whose main function is shifting between two or more functions of any of certain other keys (usually by pressing Shift and the other button simultaneously).,A2,Office
leave,thai sản,This is an example for leave.,To have a consequence or remnant.,A2,Office
resign,xin thôi,This is an example for resign.,To give up; to relinquish ownership of.,A2,Office
retire,"rời bỏ, rút về; thôi, nghỉ việc, về hưu",This is an example for retire.,"The act of retiring, or the state of being retired.",A2,Office
agenda,chương trình nghị sự,This is an example for agenda.,A temporally organized plan for matters to be attended to.,B1,Office
minutes,phút,This is an example for minutes.,A unit of time equal to sixty seconds (one-sixtieth of an hour).,B1,Office
proposal,"để nghị, để xuất",This is an example for proposal.,"Something which is proposed, or offered for consideration or acceptance",B1,Office
memo,BẢN GHI NHỚ,This is an example for memo.,A short note; a memorandum.,B1,Office
brief,"ngắn, gọn, vắn tắt",This is an example for brief.,A writ summoning one to answer to any action.,B1,Office
summary,Tóm lược,This is an example for summary.,An abstract or a condensed presentation of the substance of a body of material.,B1,Office
budget,ngân sách,This is an example for budget.,"The amount of money or resources earmarked for a particular institution, activity or time-frame.",B1,Office
forecast,dự báo; dự đoán,This is an example for forecast.,An estimation of a future condition.,B1,Office
strategy,chiến lược,This is an example for strategy.,The science and art of military command as applied to the overall planning and conduct of warfare.,B1,Office
objective,khách quan,This is an example for objective.,A material object that physically exists.,B1,Office
goal,đích,This is an example for goal.,A result that one is attempting to achieve.,B1,Office
target,target,This is an example for target.,"A butt or mark to shoot at, as for practice, or to test the accuracy of a firearm, or the force of a projectile.",B1,Office
milestone,cột mốc,This is an example for milestone.,"A stone milepost (or by extension in other materials), one of a series of numbered markers placed along a road at regular intervals, typically at the side of the road or in a median.",B1,Office
priority,ưu tiên,This is an example for priority.,An item's relative importance.,B1,Office
timeline,mốc thời gian,This is an example for timeline.,A graphical representation of a chronological sequence of events (past or future); a chronology.,B1,Office
resource,"tài nguyên; kế sách, thủ đoạn",This is an example for resource.,"Something that one uses to achieve an objective, e.g. raw materials or personnel.",B1,Office
allocation,sự cấp,This is an example for allocation.,"The process or procedure for allocating things, especially money or other resources.",B1,Office
planning,planning,This is an example for planning.,"To design (a building, machine, etc.).",B1,Office
teamwork,làm việc nhóm,This is an example for teamwork.,The cooperative effort of a team of people to achieve a common goal.,B1,Office
delegation,ủy quyền,This is an example for delegation.,An act of delegating.,B1,Office
supervision,việc giám sát,This is an example for supervision.,The act or instance of supervising.,B1,Office
evaluation,ước lượng,This is an example for evaluation.,"An assessment, such as an annual personnel performance review used as the basis for a salary increase or bonus, or a summary of a particular situation.",B1,Office
appraisal,sự giám định,This is an example for appraisal.,The act or process of developing an opinion of value.,B1,Office
feedback,phản hồi,This is an example for feedback.,Critical assessment of a process or activity or of their results.,B1,Office
coaching,huấn luyện,This is an example for coaching.,To train.,B1,Office
mentoring,sự cố vấn,This is an example for mentoring.,To act as someone's mentor,B1,Office
recruitment,Tuyển dụng,This is an example for recruitment.,"The process or art of finding candidates for a post in an organization, or recruits for the armed forces.",B1,Office
